NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 30, 5, 0, 1
1000000, 30, 5, 0, 1
1000000, 30, 5, 0, 1
1000000, 30, 5, 0, 1
1000000, 30, 5, 0, 1
1000000, 30, 5, 0, 1
1000000, 30, 5, 0, 1
1000000, 30, 5, 0, 1
1000000, 30, 5, 0, 1
1000000, 30, 5, 0, 1
1000000, 30, 5, 100, 2
1000000, 30, 5, 100, 2
1000000, 30, 5, 100, 2
1000000, 30, 5, 100, 2
1000000, 30, 5, 100, 2
1000000, 30, 5, 100, 2
1000000, 30, 5, 100, 3
1000000, 30, 5, 100, 2
1000000, 30, 5, 100, 2
1000000, 30, 5, 100, 2
1000000, 30, 5, 200, 3
1000000, 30, 5, 200, 3
1000000, 30, 5, 200, 3
1000000, 30, 5, 200, 3
1000000, 30, 5, 200, 3
1000000, 30, 5, 200, 3
1000000, 30, 5, 200, 3
1000000, 30, 5, 200, 3
1000000, 30, 5, 200, 3
1000000, 30, 5, 200, 3
1000000, 30, 5, 300, 3
1000000, 30, 5, 300, 3
1000000, 30, 5, 300, 3
1000000, 30, 5, 300, 3
1000000, 30, 5, 300, 4
1000000, 30, 5, 300, 3
1000000, 30, 5, 300, 4
1000000, 30, 5, 300, 3
1000000, 30, 5, 300, 4
1000000, 30, 5, 300, 3
1000000, 30, 5, 400, 4
1000000, 30, 5, 400, 5
1000000, 30, 5, 400, 4
1000000, 30, 5, 400, 4
1000000, 30, 5, 400, 4
1000000, 30, 5, 400, 3
1000000, 30, 5, 400, 4
1000000, 30, 5, 400, 5
1000000, 30, 5, 400, 4
1000000, 30, 5, 400, 4
1000000, 30, 5, 500, 4
1000000, 30, 5, 500, 4
1000000, 30, 5, 500, 4
1000000, 30, 5, 500, 4
1000000, 30, 5, 500, 4
1000000, 30, 5, 500, 4
1000000, 30, 5, 500, 4
1000000, 30, 5, 500, 4
1000000, 30, 5, 500, 5
1000000, 30, 5, 500, 4
1000000, 30, 5, 600, 5
1000000, 30, 5, 600, 5
1000000, 30, 5, 600, 5
1000000, 30, 5, 600, 4
1000000, 30, 5, 600, 6
1000000, 30, 5, 600, 4
1000000, 30, 5, 600, 5
1000000, 30, 5, 600, 5
1000000, 30, 5, 600, 5
1000000, 30, 5, 600, 5
1000000, 30, 5, 700, 5
1000000, 30, 5, 700, 6
1000000, 30, 5, 700, 6
1000000, 30, 5, 700, 6
1000000, 30, 5, 700, 5
1000000, 30, 5, 700, 6
1000000, 30, 5, 700, 5
1000000, 30, 5, 700, 6
1000000, 30, 5, 700, 6
1000000, 30, 5, 700, 5
1000000, 30, 5, 800, 7
1000000, 30, 5, 800, 8
1000000, 30, 5, 800, 6
1000000, 30, 5, 800, 7
1000000, 30, 5, 800, 6
